Dragstrup-Skallerup Sparekasse,4.10,2.70,1.00,-2.70,-6.20,,,,,,,,,,,,,,,
Dronninglund Sparekasse,8.50,11.80,4.30,7.30,9.00,8.90,10.00,7.10,1.30,1.20,-2.60,3.20,4.00,-22.90,3.70,6.90,7.80,8.10,5.30,
Durup Sparekasse,8.30,-2.40,0.90,7.70,7.20,12.80,,,,,,,,,,,,,,
"Ebeltoft, Andelskassen J.A.K",7.90,5.50,-1.40,5.80,5.00,3.00,4.40,7.60,0.90,1.00,-3.10,2.20,-4.00,,,,,,,
EBH Bank A/S,14.20,14.60,17.70,21.00,24.90,26.50,22.30,26.80,,,,,,,,,,,,
Egnsbank Fyn A/S,12.85,9.30,,,,,,,,,,,,,,,,,,
Eik Bank Danmark A/S,,-10.10,-22.10,5.00,10.20,26.80,35.10,16.10,-26.60,-41.30,-7.70,,,,,,,,,
Ekspres Bank A/S,,,,,,,,30.23,-1.24,-7.01,2.37,8.56,15.88,21.50,29.66,24.12,31.35,27.98,16.16,10.36
Facit Bank A/S,,,,,,,,,,,,,,,,,,,,-23.47
Fanefjord Sparekasse,6.90,13.40,14.50,11.50,11.40,11.80,18.60,8.30,-1.70,-1.30,1.30,-2.10,,,,,,,,
Fanø Sparekasse,14.80,13.90,15.20,10.00,12.30,12.40,17.60,2.60,-8.60,9.50,5.70,1.50,1.80,2.00,7.10,-3.70,0.40,-14.00,1.66,8.60
"Farsø, Sparekassen",13.70,8.30,6.20,13.50,11.00,14.30,20.50,13.10,-8.60,-8.80,-24.80,-29.10,,,,,,,,
Faster Andelskasse,3.20,9.60,9.50,9.40,11.30,9.90,16.10,0.70,-12.20,3.90,2.80,-11.50,3.70,3.60,3.80,2.70,2.91,2.95,3.85,1.18
FIH Erhvervsbank A/S,,,15.30,13.10,13.60,16.30,19.10,15.90,1.40,-0.80,3.30,-16.40,-23.60,5.00,0.69,0.95,,,,
FIH Kapital Bank A/S,,,,,,,,9.95,3.40,1.00,-0.20,7.50,-5.00,,,,,,,
Finansbanken A/S,3.30,-8.50,-25.00,0.10,10.10,7.30,3.90,18.50,-9.20,-49.00,,,,,,,,,,
Fionia Bank A/S,15.90,14.90,11.40,16.50,15.60,21.90,24.60,16.20,-64.20,,,,,,,,,,,
Fjaltring-Trans Sparekasse,9.30,8.90,8.40,6.50,9.10,-0.16,-2.56,7.59,3.14,13.37,-2.09,5.85,12.40,-0.10,-1.50,-8.30,-1.70,,,
Fjordbank Mors A/S,19.20,10.00,9.90,14.00,14.10,15.10,19.90,18.70,-18.50,-36.80,-21.10,,,,,,,,,
Flakkebjerg og Omegns Sparekasse,1.20,-3.90,0.70,-6.60,-3.00,-7.00,,,,,,,,,,,,,,
Flemløse Sparekasse,14.50,10.30,6.60,30.00,10.80,11.40,12.82,11.40,0.60,0.70,5.60,1.00,-8.50,7.00,7.60,6.30,0.20,,,
Folkesparekassen,10.60,9.00,11.60,10.20,9.90,0.70,10.00,12.50,5.00,4.00,4.00,2.20,3.90,4.00,4.10,1.60,5.50,5.40,0.78,2.94
Forstædernes Bank A/S,24.00,19.40,11.90,18.20,27.00,31.40,31.40,18.30,-61.10,,,,,,,,,,,
Frørup Andelskasse,16.60,11.40,15.20,14.70,17.90,15.80,19.40,9.50,-5.00,10.60,8.50,-1.20,8.00,8.40,3.70,4.20,4.00,5.18,1.32,7.64
Frøs Sparekasse,11.10,10.90,6.00,14.20,8.00,11.70,12.90,8.00,0.00,4.90,-4.50,2.80,3.90,0.00,4.00,-9.20,11.40,4.80,6.86,7.26
Frøslev-Mollerup Sparekasse,12.00,7.20,8.70,8.10,7.70,6.80,11.38,6.30,-4.30,4.40,0.70,4.70,11.10,5.90,-1.40,3.60,3.90,10.91,8.68,8.61
Fruering-Vitved Sparekasse,7.80,3.60,6.10,-6.30,8.10,6.00,17.10,4.00,-8.00,-2.50,-5.20,,,,,,,,,
Funder Fælleskasse Andelskasse,3.10,3.60,3.00,2.30,1.90,2.30,2.50,3.50,2.90,1.50,1.00,0.90,0.60,0.30,,,,,,
Fuur Sparekasse,3.00,2.90,3.60,-0.70,2.80,0.40,,,,,,,,,,,,,,
Fynske Bank A/S,13.50,12.90,14.70,20.10,16.20,17.30,18.50,14.70,9.20,5.90,7.70,3.90,2.60,0.70,6.30,4.80,9.70,9.50,9.10,8.00
Galten Sparekasse,17.10,2.50,12.20,9.50,8.50,12.90,16.70,,,,,,,,,,,,,
"Grønlandsbanken, Aktieselskab",14.20,18.00,15.30,12.40,12.40,14.50,16.30,17.30,11.20,15.20,13.50,10.10,16.50,14.30,14.70,11.70,12.32,14.07,14.34,14.49
Gudme Raaschou Bank A/S,2.80,-32.30,-18.20,4.30,5.00,20.90,18.00,9.10,-505.90,,,,,,,,,,,
Hals Sparekasse,10.20,6.10,14.40,4.80,9.00,9.80,22.90,8.40,-3.80,6.10,1.20,3.40,2.00,-2.20,-15.50,,,,,
Hårslev Sparekasse,0.30,1.50,9.60,1.50,9.60,12.90,9.80,-95.60,,,,,,,,,,,,
Hassing-Villerslev Sparekasse,-2.10,3.60,,,,,,,,,,,,,,,,,,
Helgenæs Sparekasse,5.90,0.40,5.40,2.20,6.70,3.40,1.50,1.20,-35.16,15.40,21.90,31.70,,,,,,,,
Hellevad-Ørum Sparekasse,11.00,11.60,15.30,10.40,10.50,,,,,,,,,,,,,,,
Helligsø-Gettrup Sparekasse,4.00,7.20,1.40,2.90,-45.90,,,,,,,,,,,,,,,
Holstebro Andelskasse J.A.K,0.50,2.80,3.10,1.70,-0.12,,,,,,,,,,,,,,,
Hover Sparekasse,6.00,7.30,18.01,1.49,0.33,-1.94,-0.72,,,,,,,,,,,,,
Hunstrup-Østerild Sparekasse,3.30,2.50,12.60,7.50,12.60,15.60,10.20,5.60,-4.20,0.40,1.30,1.10,,,,,,,,
HVIDBJERG BANK A/S,,,,,,,,,,,,,,,,,,,,21.73
Hvidbjerg Bank. Aktieselskab,19.10,15.80,14.30,23.20,11.40,12.40,13.70,6.90,3.20,1.90,-13.50,-13.00,-15.60,-10.60,11.50,13.50,12.66,13.89,15.37,
Hvidbjerg-Ørum Sparekasse,4.40,6.90,5.20,-3.20,-2.60,,,,,,,,,,,,,,,
Hvilsager-Lime Sparekasse,3.90,3.80,5.40,-3.60,-8.60,,,,,,,,,,,,,,,
J.A.K. Andelskassen Varde,6.61,7.08,11.60,4.20,3.77,6.03,4.85,7.26,5.39,1.08,-2.19,-15.26,,,,,,,,
J.A.K. Østfyns Andelskasse,1.28,1.90,0.30,0.00,-1.20,-0.50,0.00,,,,,,,,,,,,,
"JAK-Andelskassen, Hjørring",-1.10,-2.60,,,,,,,,,,,,,,,,,,
Jelling Sparekasse,6.60,6.10,9.80,9.50,9.90,12.50,18.70,,,,,,,,,,,,,
Jelstrup-Lyngby Sparekasse,4.60,,,,,,,,,,,,,,,,,,,
Jerslev Sparekasse,1.00,4.50,4.50,7.80,12.50,10.50,,,,,,,,,,,,,,
Jutlander Bank A/S,13.00,10.50,13.10,20.00,16.10,18.80,21.70,17.90,2.70,1.10,-3.90,-9.60,0.70,0.80,1.30,10.10,9.30,11.70,9.26,14.13
Jyske Bank A/S,20.30,13.20,16.90,24.60,25.00,24.50,29.20,23.40,11.90,5.00,7.40,4.20,5.30,13.80,12.90,10.20,11.40,11.10,8.10,7.60
Klim Sparekasse,17.50,9.90,6.30,13.10,16.30,18.20,24.20,12.60,-0.80,8.70,0.70,3.50,8.10,11.30,11.90,8.80,10.50,12.00,8.14,13.41
Københavns Andelskasse,-2.40,-21.40,2.00,6.90,7.00,12.90,13.80,5.30,-11.70,4.00,-4.20,-12.60,5.10,-195.10,11.60,13.70,-12.30,6.70,,
Kongsted Sparekasse,11.20,-4.00,17.00,5.10,20.30,10.20,11.00,6.90,-1.20,0.10,7.90,-7.00,-48.40,,,,,,,
Kreditbanken A/S,17.90,14.00,16.70,22.30,18.00,19.50,22.20,19.90,10.10,1.20,4.80,3.70,3.80,3.90,6.60,7.10,9.60,15.40,17.50,17.30
Lægernes Bank A/S,10.40,10.00,21.00,8.00,7.80,11.40,5.70,-1.70,1.10,7.60,-0.70,-1.40,4.40,4.50,9.30,15.20,17.44,18.55,7.65,6.80
Lån & Spar Bank A/S,9.70,7.60,7.70,6.10,4.90,8.30,5.90,5.50,0.20,6.40,8.40,7.20,13.30,11.00,13.80,12.70,15.50,16.90,11.30,12.00
Langå Sparekasse,19.90,7.70,12.60,10.40,10.50,16.40,17.00,9.60,1.30,-3.60,1.30,3.00,3.10,8.20,4.20,3.40,4.80,6.30,2.56,6.29
Leasing Fyn Bank A/S,14.10,9.90,14.70,20.10,18.10,18.40,18.60,18.40,5.20,5.80,8.20,11.00,10.00,8.60,10.90,9.70,9.70,9.70,10.50,8.50
"Løgumkloster, Sparekassen",9.80,1.80,2.50,6.20,5.60,8.50,15.20,12.30,-16.20,,,,,,,,,,,
Lokalbanken i Nordsjælland a/s,13.50,14.30,16.40,21.20,16.50,19.90,22.90,12.30,-22.00,,,,,,,,,,,
Løkken Sparebank A/S,11.20,5.10,4.60,7.10,3.80,19.80,15.20,9.90,-181.00,,,,,,,,,,,
"Lolland A/S, Sparekassen",14.00,10.80,11.80,15.80,9.20,13.10,13.70,10.00,-5.80,-13.90,-12.00,-21.20,,,,,,,,
Lollands Bank A/S,12.70,10.60,10.90,21.90,16.40,21.20,25.30,15.40,1.40,5.50,9.50,2.60,3.50,9.80,-8.90,10.70,19.99,16.49,16.45,12.91
Lunar Bank A/S,,,,,,,,,,,,,,,,,,,,-7.04
Lunde-Kvong Andelskasse,6.34,0.60,0.29,3.47,-6.40,4.79,4.41,0.69,-7.43,6.06,-13.38,,,,,,,,,
Maj Bank A/S,,,,,,,,,,,,,,,,-48.90,-14.57,-32.86,-16.80,-13.00
Max Bank af 2011 A/S,9.50,11.50,16.50,19.30,18.80,23.30,27.20,11.90,-40.80,-12.90,-9.60,,,,,,,,,
Merkur Andelskasse,8.00,8.90,8.10,4.00,5.30,9.50,4.30,8.60,4.70,2.60,0.40,-7.60,-0.80,1.90,3.90,3.60,8.46,-7.08,1.18,3.16
Middelfart Sparekasse,4.90,6.10,12.70,18.90,11.90,9.10,13.90,6.00,-9.30,-4.70,-13.20,1.30,2.00,3.30,9.20,0.90,11.40,11.40,8.70,12.77
"Midt Vest, Sparekassen",13.80,5.20,8.10,9.70,8.50,10.60,,,,,,,,,,,,,,
"Midtbank, Aktieselskab",16.60,-11.10,,,,,,,,,,,,,,,,,,
