A/S Nørresundby Bank,2000,9.08
﻿A/S Nørresundby Bank,2001,10.30
﻿A/S Nørresundby Bank,2002,10.90
﻿A/S Nørresundby Bank,2003,7.90
﻿A/S Nørresundby Bank,2004,11.20
﻿A/S Nørresundby Bank,2005,13.20
﻿A/S Nørresundby Bank,2006,8.60
﻿A/S Nørresundby Bank,2007,11.80
﻿A/S Nørresundby Bank,2008,25.70
﻿A/S Nørresundby Bank,2009,27.60
﻿A/S Nørresundby Bank,2010,14.20
﻿A/S Nørresundby Bank,2011,16.70
﻿A/S Nørresundby Bank,2012,9.50
﻿A/S Nørresundby Bank,2013,10.60
﻿A/S Nørresundby Bank,2014,13.70
﻿A/S Nørresundby Bank,2015,0
﻿A/S Nørresundby Bank,2016,0
﻿A/S Nørresundby Bank,2017,0
﻿A/S Nørresundby Bank,2018,0
﻿A/S Nørresundby Bank,2019,0
Aarhus Lokalbank Aktieselskab,2000,7.70
Aarhus Lokalbank Aktieselskab,2001,9.90
Aarhus Lokalbank Aktieselskab,2002,10.70
Aarhus Lokalbank Aktieselskab,2003,7.00
Aarhus Lokalbank Aktieselskab,2004,8.40
Aarhus Lokalbank Aktieselskab,2005,9.80
Aarhus Lokalbank Aktieselskab,2006,10.20
Aarhus Lokalbank Aktieselskab,2007,13.70
Aarhus Lokalbank Aktieselskab,2008,-62.40
Aarhus Lokalbank Aktieselskab,2009,865.10
Aarhus Lokalbank Aktieselskab,2010,-0.70
Aarhus Lokalbank Aktieselskab,2011,-0.30
Aarhus Lokalbank Aktieselskab,2012,0
Aarhus Lokalbank Aktieselskab,2013,0
Aarhus Lokalbank Aktieselskab,2014,0
Aarhus Lokalbank Aktieselskab,2015,0
Aarhus Lokalbank Aktieselskab,2016,0
Aarhus Lokalbank Aktieselskab,2017,0
Aarhus Lokalbank Aktieselskab,2018,0
Aarhus Lokalbank Aktieselskab,2019,0
Aars Bank A/S,2000,-7.70
Aars Bank A/S,2001,0
Aars Bank A/S,2002,0
Aars Bank A/S,2003,0
Aars Bank A/S,2004,0
Aars Bank A/S,2005,0
Aars Bank A/S,2006,0
Aars Bank A/S,2007,0
Aars Bank A/S,2008,0
Aars Bank A/S,2009,0
Aars Bank A/S,2010,0
Aars Bank A/S,2011,0
Aars Bank A/S,2012,0
Aars Bank A/S,2013,0
Aars Bank A/S,2014,0
Aars Bank A/S,2015,0
Aars Bank A/S,2016,0
Aars Bank A/S,2017,0
Aars Bank A/S,2018,0
Aars Bank A/S,2019,0
Agri-Egens Sparekasse,2000,0.00
Agri-Egens Sparekasse,2001,0.00
Agri-Egens Sparekasse,2002,0.00
Agri-Egens Sparekasse,2003,0.00
Agri-Egens Sparekasse,2004,0.00
Agri-Egens Sparekasse,2005,0.00
Agri-Egens Sparekasse,2006,0.00
Agri-Egens Sparekasse,2007,0.00
Agri-Egens Sparekasse,2008,0.00
Agri-Egens Sparekasse,2009,0.00
Agri-Egens Sparekasse,2010,0
Agri-Egens Sparekasse,2011,0
Agri-Egens Sparekasse,2012,0
Agri-Egens Sparekasse,2013,0
Agri-Egens Sparekasse,2014,0
Agri-Egens Sparekasse,2015,0
Agri-Egens Sparekasse,2016,0
Agri-Egens Sparekasse,2017,0
Agri-Egens Sparekasse,2018,0
Agri-Egens Sparekasse,2019,0
Aktieselskabet Arbejdernes Landsbank,2000,0.00
Aktieselskabet Arbejdernes Landsbank,2001,0.00
Aktieselskabet Arbejdernes Landsbank,2002,0.00
Aktieselskabet Arbejdernes Landsbank,2003,0.00
Aktieselskabet Arbejdernes Landsbank,2004,0.00
Aktieselskabet Arbejdernes Landsbank,2005,0.00
Aktieselskabet Arbejdernes Landsbank,2006,0.00
Aktieselskabet Arbejdernes Landsbank,2007,0.00
Aktieselskabet Arbejdernes Landsbank,2008,0.00
Aktieselskabet Arbejdernes Landsbank,2009,0.00
Aktieselskabet Arbejdernes Landsbank,2010,0.00
Aktieselskabet Arbejdernes Landsbank,2011,0.00
Aktieselskabet Arbejdernes Landsbank,2012,0.00
Aktieselskabet Arbejdernes Landsbank,2013,0.00
Aktieselskabet Arbejdernes Landsbank,2014,0.00
Aktieselskabet Arbejdernes Landsbank,2015,0.00
Aktieselskabet Arbejdernes Landsbank,2016,0
Aktieselskabet Arbejdernes Landsbank,2017,0
Aktieselskabet Arbejdernes Landsbank,2018,0
Aktieselskabet Arbejdernes Landsbank,2019,0
"Alfred Berg SE, Copenhagen Branch",2000,0.00
"Alfred Berg SE, Copenhagen Branch",2001,0.00
"Alfred Berg SE, Copenhagen Branch",2002,0.00
"Alfred Berg SE, Copenhagen Branch",2003,0.00
"Alfred Berg SE, Copenhagen Branch",2004,0.00
"Alfred Berg SE, Copenhagen Branch",2005,0
"Alfred Berg SE, Copenhagen Branch",2006,0
"Alfred Berg SE, Copenhagen Branch",2007,0
"Alfred Berg SE, Copenhagen Branch",2008,0
"Alfred Berg SE, Copenhagen Branch",2009,0
"Alfred Berg SE, Copenhagen Branch",2010,0
"Alfred Berg SE, Copenhagen Branch",2011,0
"Alfred Berg SE, Copenhagen Branch",2012,0
"Alfred Berg SE, Copenhagen Branch",2013,0
"Alfred Berg SE, Copenhagen Branch",2014,0
"Alfred Berg SE, Copenhagen Branch",2015,0
"Alfred Berg SE, Copenhagen Branch",2016,0
"Alfred Berg SE, Copenhagen Branch",2017,0
"Alfred Berg SE, Copenhagen Branch",2018,0
"Alfred Berg SE, Copenhagen Branch",2019,0
Alm. Brand Bank A/S,2000,0.00
Alm. Brand Bank A/S,2001,0.00
